external_risk_estimate,months_since_oldest_trade_open,months_since_most_recent_trade_open,average_months_in_file,num_satisfactory_trades,num_trades_60_ever_2_derog_pub_rec,num_trades_90_ever_2_derog_pub_rec,percent_trades_never_delq,months_since_most_recent_delq,num_trades_open_in_last_12m,months_since_most_recent_inqexcl7days,num_inq_last_6m,num_inq_last_6m_excl7days,net_fraction_revolving_burden,net_fraction_install_burden,num_bank_2_natl_trades_w_high_utilization,debt_to_income,emp_length,loan_amount,total_credit_limit,current_installment_accounts,paid_total,num_mort_accounts,account_never_delinq_percent,balance,num_historical_failed_to_pay,num_total_cc_accounts,num_cc_carrying_balance,age,monthly_income,number_of_dependents,number_real_estate_loans_or_lines,revolving_utilization_of_unsecured_lines,is_bad
66,152,5,78,11,2,2,100,-7,1,0,1,1,86,64,1,21.48,21.48,15000,86414,2,3321.21,0,69.2,12547.52,0,10,8,36,8100.0,2.0,1,0.455981941,1
62,340,11,97,18,4,1,52,14,1,8,0,0,68,83,2,16.89,16.89,5500,124936,1,5787.8155575417,2,85.0,0.0,0,14,8,30,5400.0,0.0,0,0.9999999,1
55,179,1,75,22,1,0,83,2,1,0,1,1,57,-8,3,9.73,9.73,17500,67591,1,2512.28,1,68.4,16719.73,0,13,7,25,4000.0,0.0,0,0.9999999,1
72,132,4,63,22,1,0,96,29,4,0,2,2,5,94,1,36.07,0.0,35000,694377,2,3493.67,6,95.2,32559.72,0,9,3,36,2162.0,3.0,0,0.9999999,1
63,66,7,45,17,0,0,94,-8,1,0,1,1,67,83,3,13.2,13.2,11000,100116,1,1038.72,3,93.3,10494.5,0,5,2,60,5795.0,0.0,1,1.0,1
65,160,7,60,26,0,0,96,41,2,0,1,1,56,-8,3,11.29,0.0,10000,351166,0,453.5,1,95.8,9763.97,0,21,6,56,0.0,4.0,0,0.9999999,1
64,243,11,84,30,0,0,94,25,1,11,0,0,92,35,4,10.83,10.83,8000,56410,2,1028.82,0,81.0,7123.34,0,12,4,45,19166.0,2.0,2,0.907706171,1
60,62,1,36,4,0,0,50,6,1,-7,2,2,86,-8,1,5.6,5.6,36000,48731,1,4681.48,0,71.4,32506.78,1,5,3,49,4096.0,1.0,0,0.9999999,1
59,178,3,68,14,2,1,75,45,3,0,6,6,59,97,0,7.97,7.97,8000,196600,0,8266.3673258814,2,100.0,0.0,0,17,6,25,0.0,0.0,0,0.9999999,1
64,192,1,76,22,0,0,96,16,2,0,0,0,67,64,4,29.87,29.87,25000,377197,2,2546.36,2,98.0,23293.62,0,43,14,26,3833.0,0.0,0,0.337831084,1
57,57,2,37,7,3,2,45,16,3,-7,0,0,46,-8,1,15.97,0.0,10000,17800,0,1321.74,0,85.2,9057.25,0,19,7,61,6041.0,0.0,1,0.973164634,1
66,174,2,59,7,1,1,90,-8,2,0,1,1,86,-8,1,5.67,5.67,40000,34818,1,1711.2,0,91.7,38986.67,0,8,1,61,0.0,0.0,2,0.0,1
